angelegt_am,tatzeit_anfang_datum,tatzeit_anfang_stunde,tatzeit_ende_datum,tatzeit_ende_stunde,lor,schadeshoehe,versuch,art_des_fahrrads,delikt,erfassungsgrund,id
2023-06-09,2023-05-11,17,2023-05-12,8,2200211,926,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1
2023-06-09,2023-06-08,19,2023-06-08,19,11300620,1175,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2
2023-06-09,2023-06-06,17,2023-06-07,7,2500835,1882,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,3
2023-06-09,2023-06-08,11,2023-06-09,7,9200511,1047,0,Herrenfahrrad,Keller- und Bode0bruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,4
2023-06-09,2023-04-16,9,2023-04-16,9,7400720,170,0,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,5
2023-06-09,2023-06-08,23,2023-06-09,9,8100206,849,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,6
2023-06-09,2023-06-05,19,2023-06-06,8,1400942,850,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,7
2023-06-09,2023-06-08,1,2023-06-08,6,8200833,551,0,Kinderfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,8
2023-06-09,2023-05-25,12,2023-05-27,17,6100102,333,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,9
2023-06-09,2023-06-09,6,2023-06-09,15,1400938,469,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,10
2023-06-09,2023-06-08,13,2023-06-08,15,11100307,388,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,11
2023-06-09,2023-06-09,6,2023-06-09,14,11200514,928,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,12
2023-06-09,2023-06-08,19,2023-06-09,7,4300623,890,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,13
2023-06-09,2023-06-07,15,2023-06-07,15,7100102,100,0,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,14
2023-06-09,2023-06-07,12,2023-06-09,10,2200207,2200,0,Damenfahrrad,Keller- und Bode0bruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,15
2023-06-09,2023-06-08,14,2023-06-08,14,8100209,456,0,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,16
2023-06-09,2023-06-06,17,2023-06-06,19,1100308,1800,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,17
2023-06-09,2023-06-07,17,2023-06-07,17,5100316,572,0,Damenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern,18
2023-06-09,2023-06-08,22,2023-06-09,12,4501041,350,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,19
2023-06-09,2023-06-07,13,2023-06-08,18,4300624,700,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,20
2023-06-09,2023-06-07,12,2023-06-09,9,3400721,4518,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,21
2023-06-09,2023-06-07,16,2023-06-09,10,4500936,1450,0,Herrenfahrrad,Keller- und Bode0bruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,22
2023-06-09,2023-06-08,19,2023-06-08,23,2200207,699,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,23
2023-06-09,2023-06-08,12,2023-06-09,12,8100418,890,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,24
2023-06-09,2023-06-08,21,2023-06-09,7,9200715,649,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,25
2023-06-09,2023-06-08,20,2023-06-09,9,11200411,1500,0,Rennrad,Keller- und Bode0bruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,26
2023-06-09,2023-06-08,7,2023-06-09,8,3300412,599,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,27
2023-06-09,2023-06-09,7,2023-06-09,10,12100102,999,0,Fahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern,28
2023-06-09,2023-06-08,18,2023-06-09,16,1300836,3510,0,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,29
2023-06-09,2023-06-09,16,2023-06-09,16,1401043,4083,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,30
2023-06-09,2023-06-09,10,2023-06-09,11,8100314,3100,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,31
2023-06-09,2023-06-08,17,2023-06-09,7,2100103,829,0,Herrenfahrrad,Keller- und Bode0bruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,32
2023-06-09,2023-05-31,16,2023-05-31,18,7100102,300,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,33
2023-06-09,2023-06-03,10,2023-06-04,11,11300617,550,0,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,34
2023-06-09,2023-06-08,17,2023-06-09,2,6100209,1049,0,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,35
2023-06-09,2023-06-08,22,2023-06-09,7,7300618,0,0,Herrenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern,36
