Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,PLR_ID,PLR_NAME,BEZ,STAND,GROESSE_M2
,,,,,,"-1","0","-1",,,"11501341",Karlshorst Süd,"11",01.01.2021,2294021.723
,,,,,,"-1","0","-1",,,"07601340",Tirschenreuther Ring Ost,"07",01.01.2021,413969.326
,,,,,,"-1","0","-1",,,"02500831",Wismarplatz,"02",01.01.2021,248988.291
,,,,,,"-1","0","-1",,,"12601134",Märkisches Zentrum,"12",01.01.2021,1127855.841
,,,,,,"-1","0","-1",,,"07601547",Horstwalder Straße,"07",01.01.2021,941433.954
,,,,,,"-1","0","-1",,,"08301036",Gropiusstadt Mitte,"08",01.01.2021,695018.485
,,,,,,"-1","0","-1",,,"05200421",Spandauer Straße,"05",01.01.2021,720067.571
,,,,,,"-1","0","-1",,,"05200418",Isenburger Weg,"05",01.01.2021,1284627.903
,,,,,,"-1","0","-1",,,"11501238",Rummelsburg,"11",01.01.2021,2401515.387
,,,,,,"-1","0","-1",,,"07200412",Schöneberger Linse,"07",01.01.2021,231294.249
,,,,,,"-1","0","-1",,,"07100103",Frobenstraße,"07",01.01.2021,342043.539
,,,,,,"-1","0","-1",,,"03400618",Rosenthal,"03",01.01.2021,1798385.975
,,,,,,"-1","0","-1",,,"10200526",Boulevard Kastanienallee,"10",01.01.2021,526608.425
,,,,,,"-1","0","-1",,,"07300516",Odenwaldstraße,"07",01.01.2021,458716.636
,,,,,,"-1","0","-1",,,"10100205",Gewerbegebiet Bitterfelder Straße,"10",01.01.2021,3601314.587
,,,,,,"-1","0","-1",,,"02300315",Lausitzer Platz,"02",01.01.2021,350907.658
,,,,,,"-1","0","-1",,,"07601548",Wittelsbacherstraße,"07",01.01.2021,968261.882
,,,,,,"-1","0","-1",,,"10100314",Auersbergstraße,"10",01.01.2021,470905.654
,,,,,,"-1","0","-1",,,"07601443",Töpchiner Weg,"07",01.01.2021,1986689.085
,,,,,,"-1","0","-1",,,"03601245",Ostseestraße,"03",01.01.2021,966047.252
,,,,,,"-1","0","-1",,,"02500832",Traveplatz,"02",01.01.2021,369567.495
,,,,,,"-1","0","-1",,,"10200630",Cecilienplatz,"10",01.01.2021,377288.218
,,,,,,"-1","0","-1",,,"02100104",Moritzplatz,"02",01.01.2021,380547.712
,,,,,,"-1","0","-1",,,"03701554",Teutoburger Platz,"03",01.01.2021,548486.697
,,,,,,"-1","0","-1",,,"03500933",Weißer See,"03",01.01.2021,1055229.992
,,,,,,"-1","0","-1",,,"07100204",Barbarossaplatz,"07",01.01.2021,515151.482
,,,,,,"-1","0","-1",,,"05200420",Staakener Straße,"05",01.01.2021,2627506.883
,,,,,,"-1","0","-1",,,"08100312",Weichselplatz,"08",01.01.2021,515944.623
,,,,,,"-1","0","-1",,,"10100103",Wittenberger Straße,"10",01.01.2021,686657.51
,,,,,,"-1","0","-1",,,"03601451",Anton-Saefkow-Park,"03",01.01.2021,546889.645
,,,,,,"-1","0","-1",,,"06400736",Düppel,"06",01.01.2021,3130515.711
,,,,,,"-1","0","-1",,,"01400937",Afrikanische Straße,"01",01.01.2021,3674225.411
,,,,,,"-1","0","-1",,,"07601339",Tirschenreuther Ring West,"07",01.01.2021,453765.631
,,,,,,"-1","0","-1",,,"06300632",Schweizer Viertel,"06",01.01.2021,3085882.409
,,,,,,"-1","0","-1",,,"07601545",Nahariyastraße,"07",01.01.2021,900458.165
,,,,,,"-1","0","-1",,,"05100103",Mertensstraße,"05",01.01.2021,719119.684
,,,,,,"-1","0","-1",,,"08100314",Donaustraße,"08",01.01.2021,255918.243
